userName,score,at,content
Pengguna Google,5,08-09-2024 04:37,Sangat membantu..sekali
Pengguna Google,5,08-09-2024 04:37,"Tempat belanja online no 1, harga lebih murah daripada di pasaran, pengiriman cepat,barangnya realpict ada harga ada kualitas,saran banyakin voucher potongan harga dan gretong"
Pengguna Google,5,08-09-2024 04:37,yaudah
Pengguna Google,1,08-09-2024 04:37,Ongkir nya mahal ..masak lebih mahal ongkir nya dr pada harganya . Payahhhhhhhhhh
Pengguna Google,5,08-09-2024 04:36,bagus
Pengguna Google,5,08-09-2024 04:35,sangat bagus
Pengguna Google,5,08-09-2024 04:34,"keluar masuk keluar masuk sendiri mulu, jaringan internet lancar, udah update versi terbaru, udah bersihin chace juga ga ngaruh"
Pengguna Google,1,08-09-2024 04:33,mohon maaf kenapa setiap kali ingin melihat halaman beranda selalu tidak bisa padahal jaringan internet lancar dan setelah saya coba uninstall dan coba login akun baru pun masih sama tidak bisa sama sekali
Pengguna Google,5,08-09-2024 04:33,ulala
Pengguna Google,5,08-09-2024 04:32,mantul
Pengguna Google,5,08-09-2024 04:31,bagus
Pengguna Google,3,08-09-2024 04:31,Ini knp video shopeenya BLANK HITAM ?
Pengguna Google,5,08-09-2024 04:31,Good
Pengguna Google,1,08-09-2024 04:30,"Pembaruan aplikasi yang sangat buruk , tidak bisa pilih ekspedisi lagi, tolong kembalikan fitur bisa pilih ekspedisi lagi, paket saya lama banget dikirimnya oleh ekspedisi jne, padahal isinya hewan hasilnya mati semua karena ekspedisi yg lama"
Pengguna Google,5,08-09-2024 04:29,Sudah diUpdets malah close sendiri😏
Pengguna Google,5,08-09-2024 04:26,Mantap tempat perbelanjaan yang sangat praktis
Pengguna Google,5,08-09-2024 04:26,👍👍👍👍👍👍🙏
Pengguna Google,1,08-09-2024 04:26,Iklan kontolllll
Pengguna Google,5,08-09-2024 04:25,Sangat membantu
Pengguna Google,2,08-09-2024 04:25,Iklan shopee di web/aplikasi lain ngeselin
Pengguna Google,5,08-09-2024 04:24,Tolong aktif kan spinjam punya saya
Pengguna Google,5,08-09-2024 04:23,Selamat siang shoope Hari ini tanggal 8 September 2024 saya sudah tidak lagi menggunakan shoope Karna mau saya uninstall 🙏🙏🙏
Pengguna Google,5,08-09-2024 04:22,gud
Pengguna Google,5,08-09-2024 04:21,Mantullll
Pengguna Google,5,08-09-2024 04:20,TERBAIK
Pengguna Google,5,08-09-2024 04:20,baguss bgtt
Pengguna Google,1,08-09-2024 04:20,dapat notif paylater setelah diklik disuruh ngajukan tapi terus gak di acc..padahal belanjanya ya ke sope tp di PHP in terus.parah ini PHP laternya padahal ya pasti dibayar kalo memang bisa pake paylater..
Pengguna Google,5,08-09-2024 04:19,Oke
Pengguna Google,5,08-09-2024 04:19,Sangat memuaskan
Pengguna Google,4,08-09-2024 04:19,"Tolong dong pihak shopie untuk daerah Kalimantan jnt express diadakan lagi soalnya pake spx paket kmi klo g diretur ngilang , diretur dri pihak spx nya bukan kmi sendiri meretur nya 🙏"
Pengguna Google,1,08-09-2024 04:19,Shopee eror maksa bt masuk sendiri tampa di pencet ya allah aplkasi rusaakkk maen game ga tenang maksa masuk sendiri beralih ke Shopee rusak rusaakk
Pengguna Google,2,08-09-2024 04:19,pelis aku mau ningtal ni
Pengguna Google,2,08-09-2024 04:19,"Penghinaan buat saya terlambat 1 hari bayar dan bayar denda, melunasi dalam 6bln sebelum jatuh tempo 12bln. Malah kredit handphone saya dibekukan"
Pengguna Google,1,08-09-2024 04:18,"Aplikasinya aneh mendingan lazada pas beli gada notifnya pakt dikirim pesanan dibuat diliat pun gada gada tgl sampainya pas udh beli sendiri tau"" Paketnya sampe mana 2 lagi padahal cuma beli 1 apalah gaje kali gausah bkin apk klo ga konsisten masih worth it pake tik tok shop/lazada"
Pengguna Google,5,08-09-2024 04:17,Jos jiss
Pengguna Google,5,08-09-2024 04:16,kadang gmbr ga muncul pdhl jaringan bagusss
Pengguna Google,5,08-09-2024 04:15,"Kheren pokoknya mah ,,,"
Pengguna Google,2,08-09-2024 04:15,"Spx Paketnya dkembalikan terus lah , pembeli butuh barangnya malah dkembalikan nga jelas"
Pengguna Google,4,08-09-2024 04:15,bagus
Pengguna Google,5,08-09-2024 04:13,Ok
Pengguna Google,5,08-09-2024 04:12,No wa kurir sama namanya gabisa di liat beda kaya lazada bisa
Pengguna Google,5,08-09-2024 04:12,Bagus masyaaAllah
Pengguna Google,5,08-09-2024 04:11,sangat membantu
Pengguna Google,5,08-09-2024 04:11,Netral
Pengguna Google,1,08-09-2024 04:10,Selama belanja di shopping saya baru sekali mendapatkan barang yang tidak sesuai Karena baru sekali jadi penilaian saya baik sekali
Pengguna Google,5,08-09-2024 04:10,Membantu
Pengguna Google,5,08-09-2024 04:10,Kereeen
Pengguna Google,5,08-09-2024 04:10,"Harga nya murah"" di shoopee harga terjangkau.buat pesenan Dagangan Saya.Next tolong jika ada Penjual"" Yg Nakal proses Hukum Aja.band akunnya.Merugikan pelanggan Shoope..Takut nanti imbasnya ke shoope nya juga."
Pengguna Google,1,08-09-2024 04:10,"Byk toko yg melakukan modus penipuan,smakin kesini smakin buruk kontrol/penyaringan ttg toko yg bergabung.klo begini terus mending hapus dan baned aja aplikasi dr playstore."
Pengguna Google,5,08-09-2024 04:09,senang banget
Pengguna Google,5,08-09-2024 04:09,shopee belanja murah banyak diskon
Pengguna Google,5,08-09-2024 04:08,Sangat bagus 👍👍👍
Pengguna Google,5,08-09-2024 04:07,Manstapppppp....
Pengguna Google,5,08-09-2024 04:07,"Udah seneng pake shoppy, terpercaya"
Pengguna Google,5,08-09-2024 04:06,"Bagus,recomend belanja di zaman now"
Pengguna Google,5,08-09-2024 04:06,Bagus
Pengguna Google,5,08-09-2024 04:05,Oke
Pengguna Google,5,08-09-2024 04:04,Apk yg bagus
Pengguna Google,5,08-09-2024 04:04,Tingkat kan pelayanan
Pengguna Google,5,08-09-2024 04:04,"Membantu berbelanja, keamanan kenyamanan lumayan sangat baik"
Pengguna Google,5,08-09-2024 04:04,Suka bangeut pake aplikasi shopee tegas menindak pada seller nakal. Jadi tempat berbelanja aman dan terpercaya
Pengguna Google,5,08-09-2024 04:02,Tpi kok di hp saya susah buat cekout... Yang muncul verifikasi yg gak slesai2 jd lma... Bnget muncule
Pengguna Google,1,08-09-2024 04:01,"sangat lambat kalo kita pesan barang, rekomendasix TDK akurat.preet"
Pengguna Google,1,08-09-2024 03:58,"Shopee skrg dah gk sebagus dlu,, expedisi ny lelet.. Kecewa"
Pengguna Google,5,08-09-2024 03:58,Untuk saat ini shopee cukup bagus.. Saran untuk shope ya tolong jika penjual yg pengemasan selama 3/4hari untuk pelanggan itu sudah tidak wajar.. jd tolong beri peringatan tuk penjual .. dan jika penjual tersebut tidak aktif selama berbulan bulan harap d'nonaktifkan atau blokir trima kasih
Pengguna Google,3,08-09-2024 03:58,"Harus nya shopee jangan egois dan mementingkan pelanggan saja. Perihal retur pengembalian barang harus nya ada pihak ketiga atau penengah sebagai hakim yg adil. Ahir"" ini saya sering jadi korban penipuan pembeli. Retur barang dengan barang bekas ."
Pengguna Google,5,08-09-2024 03:58,"Mengerti kebutuhan konsumen, maju terus"
Pengguna Google,5,08-09-2024 03:57,Barang sesuai dg pesanan dan pengiriman memuaskan.
Pengguna Google,1,08-09-2024 03:56,baik
Pengguna Google,3,08-09-2024 03:54,"Kepada aplikasi shopee pinjaman yang terhormat mengapa harus ada kata pencarian 3hri kinerja,mohon beri saya jawaban nya,dan pihak kepada pinjam shopee saya belum ada menerima uang apapun dan saya mintak maaf juga karna belum pakar menjelajahinya 🙏🙏🙏🙏"
Pengguna Google,5,08-09-2024 03:54,Sangat membantu
Pengguna Google,5,08-09-2024 03:53,saya suka dengan shopee karna belanjanya gampang dan murah lagi..... thank you shopee.
Pengguna Google,3,08-09-2024 03:52,Udah bagus cuman pengiriman nya yang lama
Pengguna Google,5,08-09-2024 03:52,Cakep
Pengguna Google,5,08-09-2024 03:52,👋👋
Pengguna Google,1,08-09-2024 03:51,"tlong kpda SPX EXPRESS lbih ditingkatkan lagi pengirimannya, masa paket saya di retur tnpa konfirmasi dulu ke saya... saya sangat kecewa!!! apalgi sekarang di shopee tdak bisa pilih ekspedisi yg saya inginkan😭😭🙏🙏🙏"
Pengguna Google,5,08-09-2024 03:51,Memuaskan
Pengguna Google,4,08-09-2024 03:49,Shopee baik
Pengguna Google,1,08-09-2024 03:49,Aplikasi nya bagusss
Pengguna Google,2,08-09-2024 03:49,beranda shoppe aku tdk bisaa
