userName,score,at,content,label
Pengguna Google,5,08-09-2024 04:37,Sangat membantu..sekali,Positif
Pengguna Google,5,08-09-2024 04:37,"Tempat belanja online no 1, harga lebih murah daripada di pasaran, pengiriman cepat,barangnya realpict ada harga ada kualitas,saran banyakin voucher potongan harga dan gretong",Positif
Pengguna Google,5,08-09-2024 04:37,yaudah,Positif
Pengguna Google,1,08-09-2024 04:37,Ongkir nya mahal ..masak lebih mahal ongkir nya dr pada harganya . Payahhhhhhhhhh,Negatif
Pengguna Google,5,08-09-2024 04:36,bagus,Positif
Pengguna Google,5,08-09-2024 04:35,sangat bagus,Positif
Pengguna Google,5,08-09-2024 04:34,"keluar masuk keluar masuk sendiri mulu, jaringan internet lancar, udah update versi terbaru, udah bersihin chace juga ga ngaruh",Positif
Pengguna Google,1,08-09-2024 04:33,mohon maaf kenapa setiap kali ingin melihat halaman beranda selalu tidak bisa padahal jaringan internet lancar dan setelah saya coba uninstall dan coba login akun baru pun masih sama tidak bisa sama sekali,Negatif
Pengguna Google,5,08-09-2024 04:33,ulala,Positif
Pengguna Google,5,08-09-2024 04:32,mantul,Positif
Pengguna Google,5,08-09-2024 04:31,bagus,Positif
Pengguna Google,3,08-09-2024 04:31,Ini knp video shopeenya BLANK HITAM ?,Netral
Pengguna Google,5,08-09-2024 04:31,Good,Positif
Pengguna Google,1,08-09-2024 04:30,"Pembaruan aplikasi yang sangat buruk , tidak bisa pilih ekspedisi lagi, tolong kembalikan fitur bisa pilih ekspedisi lagi, paket saya lama banget dikirimnya oleh ekspedisi jne, padahal isinya hewan hasilnya mati semua karena ekspedisi yg lama",Negatif
Pengguna Google,5,08-09-2024 04:29,Sudah diUpdets malah close sendiri😏,Positif
Pengguna Google,5,08-09-2024 04:26,Mantap tempat perbelanjaan yang sangat praktis,Positif
Pengguna Google,5,08-09-2024 04:26,👍👍👍👍👍👍🙏,Positif
Pengguna Google,1,08-09-2024 04:26,Iklan kontolllll,Negatif
Pengguna Google,5,08-09-2024 04:25,Sangat membantu,Positif
Pengguna Google,2,08-09-2024 04:25,Iklan shopee di web/aplikasi lain ngeselin,Negatif
Pengguna Google,5,08-09-2024 04:24,Tolong aktif kan spinjam punya saya,Positif
Pengguna Google,5,08-09-2024 04:23,Selamat siang shoope Hari ini tanggal 8 September 2024 saya sudah tidak lagi menggunakan shoope Karna mau saya uninstall 🙏🙏🙏,Positif
Pengguna Google,5,08-09-2024 04:22,gud,Positif
Pengguna Google,5,08-09-2024 04:21,Mantullll,Positif
Pengguna Google,5,08-09-2024 04:20,TERBAIK,Positif
Pengguna Google,5,08-09-2024 04:20,baguss bgtt,Positif
Pengguna Google,1,08-09-2024 04:20,dapat notif paylater setelah diklik disuruh ngajukan tapi terus gak di acc..padahal belanjanya ya ke sope tp di PHP in terus.parah ini PHP laternya padahal ya pasti dibayar kalo memang bisa pake paylater..,Negatif
Pengguna Google,5,08-09-2024 04:19,Oke,Positif
Pengguna Google,5,08-09-2024 04:19,Sangat memuaskan,Positif
Pengguna Google,4,08-09-2024 04:19,"Tolong dong pihak shopie untuk daerah Kalimantan jnt express diadakan lagi soalnya pake spx paket kmi klo g diretur ngilang , diretur dri pihak spx nya bukan kmi sendiri meretur nya 🙏",Positif
Pengguna Google,1,08-09-2024 04:19,Shopee eror maksa bt masuk sendiri tampa di pencet ya allah aplkasi rusaakkk maen game ga tenang maksa masuk sendiri beralih ke Shopee rusak rusaakk,Negatif
Pengguna Google,2,08-09-2024 04:19,pelis aku mau ningtal ni,Negatif
Pengguna Google,2,08-09-2024 04:19,"Penghinaan buat saya terlambat 1 hari bayar dan bayar denda, melunasi dalam 6bln sebelum jatuh tempo 12bln. Malah kredit handphone saya dibekukan",Negatif
Pengguna Google,1,08-09-2024 04:18,"Aplikasinya aneh mendingan lazada pas beli gada notifnya pakt dikirim pesanan dibuat diliat pun gada gada tgl sampainya pas udh beli sendiri tau"" Paketnya sampe mana 2 lagi padahal cuma beli 1 apalah gaje kali gausah bkin apk klo ga konsisten masih worth it pake tik tok shop/lazada",Negatif
